City ID,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,39,PF,1659581876,81,-9.8,-139.0333,77.27,17.78
1,Ekimchan,64,RU,1659582065,57,53.0667,132.9667,74.89,1.3
2,Callaway,48,US,1659582066,81,30.153,-85.5699,81.0,4.99
3,Santa Lucía,20,ES,1659581975,83,27.9117,-15.5407,64.76,29.93
4,New Norfolk,4,AU,1659581890,71,-42.7826,147.0587,64.92,3.0
5,Bredasdorp,45,ZA,1659581932,91,-34.5322,20.0403,45.73,7.18
6,Yellowknife,20,CA,1659581869,39,62.456,-114.3525,63.12,9.22
7,Puerto Ayora,97,EC,1659581913,81,-0.7393,-90.3518,70.56,8.99
8,Rikitea,96,PF,1659581616,72,-23.1203,-134.9692,71.62,19.46
9,Murchison,6,NZ,1659582067,58,-41.8,172.3333,56.86,2.35
10,Vieques,30,PR,1659582068,82,18.425,-65.8329,82.11,14.2
11,Chokurdakh,100,RU,1659581676,61,70.6333,147.9167,48.2,14.74
12,Nerchinskiy Zavod,97,RU,1659582068,57,51.3088,119.61,80.78,9.8
13,Norman Wells,75,CA,1659581979,59,65.282,-126.8329,64.44,9.22
14,Nogliki,96,RU,1659581885,85,51.8333,143.1667,61.59,10.51
15,Kapaa,5,US,1659581881,69,22.0752,-159.319,81.48,4.0
16,Bilma,76,NE,1659581924,42,18.6853,12.9164,88.43,8.59
17,Santa Maria,100,BR,1659581985,100,-29.6842,-53.8069,61.9,3.44
18,Khatanga,33,RU,1659581904,50,71.9667,102.5,60.8,12.97
19,Udarnyy,48,RU,1659582070,78,54.3409,42.8611,63.5,4.74
20,Kyabram,69,AU,1659582070,77,-36.3167,145.05,62.87,8.93
21,Huarmey,26,PE,1659581936,87,-10.0681,-78.1522,61.97,12.66
22,Pacific Grove,52,US,1659582070,88,36.6177,-121.9166,71.2,5.99
23,Tasiilaq,100,GL,1659581883,71,65.6145,-37.6368,39.51,2.08
24,Snezhnogorsk,94,RU,1659582071,81,69.1933,33.2531,55.18,10.4
25,Mataura,29,NZ,1659581601,64,-46.1927,168.8643,57.47,8.1
26,Coswig,0,DE,1659582072,60,51.1333,13.5833,77.67,9.22
27,Butaritari,23,KI,1659581873,74,3.0707,172.7902,81.99,15.79
28,Valdivia,100,CL,1659582072,98,-39.8142,-73.2459,44.19,1.48
29,Cap Malheureux,100,MU,1659582073,65,-19.9842,57.6142,71.65,16.42
30,Busselton,97,AU,1659581895,65,-33.65,115.3333,54.37,14.85
31,Kaitangata,41,NZ,1659581953,63,-46.2817,169.8464,55.11,3.8
32,San Jose,0,US,1659582000,56,37.3394,-121.895,83.21,12.66
33,Lázaro Cárdenas,71,MX,1659582073,81,17.9583,-102.2,81.82,2.35
34,Jamestown,83,US,1659581835,84,42.097,-79.2353,72.95,2.53
35,Pangkalanbuun,90,ID,1659582074,75,-2.6833,111.6167,83.17,4.99
36,Port Keats,12,AU,1659582074,48,-14.25,129.55,85.32,8.16
37,Murdochville,64,CA,1659582075,67,48.9583,-65.5006,54.14,6.11
38,Vorontsovka,87,RU,1659582075,81,50.6132,40.3549,66.88,6.64
39,Grand Gaube,100,MU,1659582075,64,-20.0064,57.6608,68.4,16.73
40,Amalāpuram,100,IN,1659582076,71,16.5833,82.0167,85.1,3.29
41,Beringovskiy,100,RU,1659581605,83,63.05,179.3167,50.54,5.68
42,Punta Arenas,75,CL,1659581825,93,-53.15,-70.9167,37.51,11.5
43,Avarua,75,CK,1659581969,57,-21.2078,-159.775,77.05,14.97
44,Tuatapere,44,NZ,1659581963,79,-46.1333,167.6833,50.16,9.66
45,Abnūb,1,EG,1659582077,37,27.2696,31.1511,81.73,7.54
46,Ustka,87,PL,1659581833,62,54.5805,16.8619,68.65,11.41
47,Souillac,40,MU,1659582000,77,-20.5167,57.5167,68.38,8.05
48,Marsh Harbour,4,BS,1659582078,74,26.5412,-77.0636,82.6,15.3
49,Barrow,100,US,1659581901,86,71.2906,-156.7887,44.74,17.52
50,Raudeberg,100,NO,1659582078,64,61.9875,5.1352,50.67,6.87
51,Hobart,20,AU,1659581891,54,-42.8794,147.3294,65.26,8.05
